;;;;;;
;Date;Time;Location;Details;Facilitators;
;14.3.2026;;🌷 Floor 14: Womb Room (45 mins);"PART 1: [Future of Work] How to Scale Human-AI Teams in Post (human) Labor Economy - the Relational Commons of Alignment with Trust and Repair

Alignment stops being a checklist and becomes a capacity that must grow under real-world collaboration.";Patrick Deegan;
;14.3.2026;;;PART 2: A shamanic orientation to AI;Kedar Shashidhar;
;14.3.2026;;🌷 Floor 14: Healing Room (45 mins);"Energetic Optimization for Frontier Leaders

Interactive coherence calibration practices for founders navigating complexity.";Sydney Campos;
;14.3.2026;;⛰️ Floor 16: Summit Lounge (45 mins);"Co-Design Lab: Capital Mechanisms for Frontier Innovation Communities - From Extraction to Stewardship

This participatory lab convenes funders, founders, governance designers, and public-goods builders to prototype capital mechanisms that enable innovation communities to function as shared infrastructure.";"Judy Zhou
Gregory Wendt
Philip Chen
Kyle Morris
Jeff Emmett
Taj James
Ferananda Ibarra
Ben Life";
;14.3.2026;3:14 PM;🥧🥧🥧 PIE TIME 🥧🥧🥧;🥧🥧🥧 PIE TIME 🥧🥧🥧;🥧🥧🥧 PIE TIME 🥧🥧🥧;
;14.3.2026;3:30 PM;🌷 Floor 14: Main Salon (45 mins);"Sense-making Circle: From Progress to Flourishing
This session explores the limits of the modern Progress Narrative paradigm and the emergence of Systemic Flourishing as a new civilizational orientation and design principles.";"Oliver Clarity
Joel Lehman
Luc Guimberteau
Hui Woon Tan
Jeremy Akers";
;14.3.2026;;🌷 Floor 14: Back Salon (45 mins);"[Workshop] Aliveness Creation through Embodiment

A guided meditation and Dharma talk to cultivate openness as a foundational capacity for ethical leadership and collaborative action.";Dima Lyan;
;14.3.2026;;🌷 Floor 14: Womb Room (45 mins);"[Workshop] Inner Change for Outer Change

Exploration of personal transformation as a prerequisite for systemic change.";Helen Tsim;
;14.3.2026;3:30 PM;🪙 Floor 12: Room 1209 (45 mins);"Co-Design Lab: Governance & Coordination Infrastructure for Frontier Innovation Communities

New governance mechanisms are needed to translate participation into legitimate decision-making for interdisciplinary communities.";"Hank Holiday
Tibet Sprague
Luc Guimberteau
Peter Shurman
Yev Muchnik
Brad DeGraf
Nicole Klau
David Nabti";
;14.3.2026;4:30 PM;🌷 Floor 14: Main Salon (45 mins);"Community Stewards Circle: Human Coordinators for the Cultural Commons

Sustaining the commons depends on community stewards who hold the relational, cultural, and operational fabric of shared environments.";"Narges Baniasadi 
Charley Hasenbeck
Marian Godell? 
Raman Fray (Potential Session Lead)
Kyle Morris
Kadair
Melanie McDougall
Helen Tsim
Patricia Mou
";
;14.3.2026;;🌷 Floor 14: Back Salon (45 mins);"Co-Design Lab Integration Circle: Reporting Back from both Capital and Governance Co-Design Labs

Commons-based innovation requires shared reflection on what is emerging in practice. Participants report out on tools and infrastructure prototyped throughout the day.";"Hank Holiday (Session Co-Lead)
FSF (Session Co-Lead)

[All participants in other co-lab sessions are invited]";
;14.3.2026;;🌷 Floor 14: Womb Room (45 mins);PART 1: [Interactive Talk] Brain Intelligence to Body Intelligence;Joel Dietz (Session Lead);
;14.3.2026;;;"PART 2: Authenticity, Presence, Articulation” - listening for the energy of a situation and responding for right relationship.""";Clare Hedin;
;14.3.2026;5:30 PM;🌷 Floor 14: Main Salon (45 mins);"Metamyth: The Power of Story and the Science of Magic

Change Your Story, Change the World

The world is made of stories, and the one we're living inside is ending. As the old narrative collapses in real time, we face the most consequential creative act in human history: authoring what comes next. In this workshop, we'll guide you through the Metamyth, a story system for discovering and consciously authoring the narratives that shape individuals, organizations, and movements.

Join us and craft your most powerful asset - your own story - into a magnetic quest that calls in the people, resources, and futures you're here to create.";Zachary Marlow;
;14.3.2026;;🌷 Floor 14: Back Salon (20 mins);Limicon;Phil Chen;
;14.3.2026;;🌷 Floor 14: Back Salon (20 mins);TBD;Charley Hasenbeck;
;14.3.2026;6:30 PM;🌷 Floor 14: Main Salon;Closing Reflection Circle;FSF + Q1;
;14.3.2026;7:00 PM;🌷 Floor 14: Main Salon;"Lost Landscapes Screening

A cinematic exploration of memory, place, and collective transformation in periods of rapid technological and societal change.";Rick (Sesssion Lead);
;14.3.2026;;🌷 Floor 14: Back Salon;Casual Evening Hang Out / Relaxation;-;
;14.3.2026;Time;Location + Duration;Session;Speakers + Session Lead;
;14.3.2026;10:00 AM;⛰️ Floor 16: Summit Lounge (45 mins);Sound Bath ;Jessica Luibrand;
;14.3.2026;11:00 AM;⛰️ Floor 16: Summit Lounge (15 mins);"Opening Ritual

Opening ritual to begin the Earth Commons day.";Roxi ;
;14.3.2026;11:15 AM;⛰️ Floor 16: Summit Lounge (45 mins);"[Keynote] Stewarding Life with Wisdom in the Age of Technology Acceleration 

 Earth as Commons: stewarding technology in service of humanity and the planet in an age of ubiquitous intelligence.";"Mingzhu Heseri
Lynne Twist
Dr. Stuart Cowan
";
;14.3.2026;12:00 PM;🌷 Floor 14: Main Salon (45 mins);"[Worldview Circle] Earth Intelligence & Sacred Alignment 

How do we align human intelligence with the intelligence of living systems? 

This circle explores how ecological wisdom, indigenous traditions, and systems thinking can guide the design of institutions, technologies, and economies that serve life.";"Samantha Sweetwater
Lynne Twist 
Will Grant 
Melanie McDougall 
Rebecca Pan 
Ariana Bahrami 
Clare Hedin
Bobby Fishkin";
;14.3.2026;;🌷 Floor 14: Back Salon (20 mins);Sustainable Energy at the Edge;Conor Colwell;
;14.3.2026;;⛰️ Floor 16: Summit Lounge (20 mins);"Regenerative Accelerationism (re/acc): Post-Collapse Open Civic Innovation 

 A conversation on how emerging civic and economic models can respond to systemic crises and create regenerative futures.";Ben Life;
;14.3.2026;12:30 PM;⛰️ Floor 16: Summit Lounge (20 mins);TBD;Caitlin Moore ;
;14.3.2026;1:00 PM;🌷 Floor 14: Main Salon (45 mins);"[Economic Circle] Regenerative Capital for Bioregional Stewardship 

How can capital flows regenerate living ecosystems rather than extract from them? 

This session explores emerging models of regenerative finance that align capital with the long-term health of ecosystems and communities.";"Luc Gumpertau
Ferananda Ibarra
Will Gardiner 
Joshua Prieto
Jeff Emmett 
Amanda Penelli
Jamie Workman
Joseph ";
;14.3.2026;;🌷 Floor 14: Healing Room (1 hour);Existential Grief Ritual? ;Amber, Chealse, Kedar, Jess? ;
;14.3.2026;;⛰️ Floor 16: Summit Lounge (20 mins);Solarpunk;Bobby Fishkin;
;14.3.2026;1:30 PM;⛰️ Floor 16: Summit Lounge (20 mins);;;
;14.3.2026;2:00 PM;🌷 Floor 14: Main Salon (45 mins);"[Institution Circle] Commons Infrastructure for Human Community Stewardship 

What new forms of infrastructure are emerging to support the Earth commons? 

This circle highlights emerging governance, technological, and legal systems that help communities steward land, resources, and shared infrastructure as commons.";"Yev Muchnik
Day Waterbury 
Tibet Sprague 
PapaPitta 
Dylan Tull 
Daniel Lucas 
Claudia Brenner 
Art Brock 
Patrick Deegan 
";
;14.3.2026;;🌷 Floor 14: Back Salon (20 mins);"Cultivating the Relational Commons for Climate Innovation
What does it take to cultivate the relational commons for climate innovation? How can we cross-pollinate between people, ideas, and sectors to accelerate systems transformation? What can we learn from supporting young leaders on the relational commons? 

This circle explores how funding, mentorship, and intentionally designed ecosystems can cultivate the relational commons—promoting care, reciprocity, shared responsibility over ownership and exclusion.";Lauren Xie ;
;14.3.2026;;🌷 Floor 14: Healing Room (45 mins);Collaborative Disagreement Workshop;Weston Mossman;
;14.3.2026;;🌷 Floor 14: Womb Room (45 mins);"MycoFi

 TBD";Jeff Emmett ;
;14.3.2026;;⛰️ Floor 16: Summit Lounge (20 mins);What’s Net Zero ASAP? And can we hit it?;Shannon Fiume;
;14.3.2026;2:30 PM;⛰️ Floor 16: Summit Lounge (20 mins);"World Rainforest Fund 

 TBD";David Seaborg;
;14.3.2026;;🌷 Floor 14: Main Salon (45 mins);"[Fireside Chat] Climate Intelligence & Global Environmental Commons 

Conversation on emerging approaches to climate intelligence and global coordination for stewarding planetary commons.";"Gayatri Roshan
Chad Frischmann";
;14.3.2026;3:00 PM;🌷 Floor 14: Back Salon (45 mins);Aquashare;Jamie Workman;
;14.3.2026;;🌷 Floor 14: Healing Room (20mins);Guided Nap Practice (Unconscious Embodiment);Zan Lowe, Sleep Facilitator;
;14.3.2026;;🌷 Floor 14: Womb Room (45 mins);From Extraction to Attunement: The Human Capacities Required for Life-Serving AI;Kedar ;
;14.3.2026;;⛰️ Floor 16: Summit Lounge (20 mins);"Life-Aligned AI Research & Development 

Discussion on emerging approaches to AI aligned with life and planetary systems.";"Tim Hanson
Adam Goldstein";
;14.3.2026;;⛰️ Floor 16: Summit Lounge (20 mins);TBD;Ando Shah;
;14.3.2026;3:30 PM;⛰️ Floor 16: Summit Lounge (20 mins);From Lone Wolves to Living Forests: Why the Future of Economics is Ecosystemic, Not Entity-Based;Joshua Prieto;
;14.3.2026;4:00 PM;🌷 Floor 14: Healing Room (20 mins);Meditation;Milo;
;14.3.2026;4:30 PM;🌷 Floor 14: Main Salon (20 mins);Closing Circle;Cosmic Cacao;
;14.3.2026;6:00 PM;🥂 Trellis;Happy Hour;EarthScale;
;;7 PM - 9 PM;;;;
